brand,category,ad_text,format,start_date,platform,url,primary_theme,theme_list,theme_count,ad_age_days,matched_page_name,page_id,ad_archive_id,raw_display_format,text_length,has_text,cta_text,link_caption,page_verification,page_likes,competitor_why,brand_query,image_count,video_count,expected_theme_slots
BabyOrgano,Baby care,"🤩India’s Only Ayurvedic Milk Mix without Refined Sugar? 👉Switch to Nutriverse Chocovita Milk Mix, loaded with herbs and ZERO added sugar. ✅ Tasty Nutrition Powder made of 8+ Ayurvedic herbs ✅ Naturally Sweetened with Dates, Jaggery, and Honey Boosts: 💪🏽 Immunity 📈 Height & Weight 🧠 Brain Development 📣Perfect for kids aged 2 to 15 years ✌Highly rated and trusted by over 1 million parents. ⏰Buy now and get 100/- flat discount",video,2026-03-03,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=1657283185432834,discount / offer,"['discount / offer', 'parenting pain point']",2,5,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,1657283185432834,VIDEO,427,yes,Shop now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,0,1,5
BabyOrgano,Baby care,"When your child’s cough turns nights into worries 💙 Night-time cough can be stressful for both kids and parents. In mild cough and cold, parents often look for a remedy that is gentle, effective, and safe for little ones. BabyOrgano Kanthprash Syrup is a tried-and-trusted option, made with natural ingredients like Pushkarmool, Mulethi, Kantakari, and Ambahaldi. These help soothe the throat, support mucus clearance, and keep your child comfortable. ✔️ Helpful in mild cough & cold ✔️ 100% Ayurvedic, non-drowsy formula ✔️ No lethargy or sleepiness ✔️ Kid-friendly taste, easy to give Always give the dose according to your child’s age. If the cough lasts longer, symptoms worsen, breathing becomes difficult, or there is high fever, consult your pediatrician immediately. Because peaceful nights matter—for you and your little one. 🌙👶",video,2026-03-03,"Facebook, Instagram, Messenger, Threads",https://www.facebook.com/ads/library/?id=934318495680458,parenting pain point,"['parenting pain point', 'sleep / stress']",2,5,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,934318495680458,VIDEO,837,yes,Order now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,0,1,5
BabyOrgano,Baby care,"100% आयुर्वेदिक Natural Ubtan, Remove tan and hair ! 🌿 0–15 age 🌸 हल्दी, चंदन, गुलाब पंखुड़ी, चना और मंजीष्ठा का मिश्रणरे 🍼 No chemicals, no artificial fragrance 🛍️ MRP ₹499 – अब सिर्फ ₹449 🚚 Free Shipping – Limited time only!",video,2026-03-02,"Facebook, Instagram",https://www.facebook.com/ads/library/?id=1606143390698816,discount / offer,['discount / offer'],1,6,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,1606143390698816,VIDEO,226,yes,Shop now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,0,1,5
BabyOrgano,Baby care,{{product.brand}},carousel,2026-03-02,"Facebook, Instagram",https://www.facebook.com/ads/library/?id=897857493219967,other / unclassified,['other / unclassified'],1,6,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,897857493219967,DCO,17,yes,Shop now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,2,0,5
BabyOrgano,Baby care,वारंवार आजार? 🤒 आता मुलांसाठी नैसर्गिक इम्युनिटी बूस्टर ✨ 24K स्वर्ण भस्म + ब्राह्मी + शंखपुष्पी ✔ इम्युनिटी मजबूत ✔ स्मरणशक्ती व फोकस वाढ ✔ भूक सुधार 1 मिलियन+ पालकांचा विश्वास ❤️,static image,2026-02-28,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=895226759778040,other / unclassified,['other / unclassified'],1,8,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,895226759778040,IMAGE,180,yes,Shop now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,1,0,5
BabyOrgano,Baby care,"Kya aapke baby bhi ye karta hai? Cold & Cough season? We’ve got your little one covered BabyOrgano’s Ayurvedic Duo – Kanthprash Cough Syrup + Sitopaladi Churna – brings natural, effective relief. - Wet & dry cough relief - Throat-soothing support - 100% Ayurvedic, non-drowsy Happy kids, relaxed moms. 💚 #BabyOrgano #AyurvedicCare #KidsCoughRelief #NaturalHealing #AyurvedicForKids #ColdAndCoughRelief #KidsWellness #MomApproved #AyurvedicRemedy #HealthyKidsHappyMoms #Kanthprash #SitopaladiChurna",video,2026-02-28,"Facebook, Instagram, Messenger, Threads",https://www.facebook.com/ads/library/?id=1626523168474583,parenting pain point,['parenting pain point'],1,8,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,1626523168474583,VIDEO,497,yes,Order now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,0,1,5
BabyOrgano,Baby care,"Frequent colds. Low appetite. Weak immunity. If there’s one thing your child truly needs most, it’s strong internal protection. Baalprashan Swarnaprashan Drops—India’s first clinically approved Swarnaprashan—help support immunity, memory, focus, digestion & faster recovery. Made with real Swarna Bhasma and time-tested Ayurvedic herbs. No chemicals. No artificial additives. Just pure Ayurvedic care.",video,2026-02-28,"Facebook, Instagram, Audience_Network, Threads",https://www.facebook.com/ads/library/?id=711935458671534,parenting pain point,"['parenting pain point', 'sleep / stress']",2,8,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,711935458671534,VIDEO,401,yes,Shop now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,0,1,5
BabyOrgano,Baby care,"This Holi, let the colors stay in memories, not on your baby’s skin 💛🌈 Protect their delicate skin with BabyOrgano Natural Ubtan – gentle, natural & safe for 0–15 years 👶✨ 💧 Helps remove Holi tan & colour gently 🌿 100% Natural & Ayurvedic – No harsh chemicals",video,2026-02-28,"Facebook, Instagram, Audience_Network, Threads",https://www.facebook.com/ads/library/?id=3089096234611758,parenting pain point,['parenting pain point'],1,8,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,3089096234611758,VIDEO,259,yes,Shop now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,0,1,5
BabyOrgano,Baby care,"👉Best immunity booster for kids you must know! 📣Introducing baalprashan swarnprashan drops for kids a miraculous immunity booster. 👉Baalprashan Swarnprashan drops are derived from 10+ herbs such as Brahmi, Shankhpushpi, Vacha, and Manjistha. These herbs help to boost Immunity, improve digestion and boost focus. Our product is ✅100% Ayurvedic ⛔️No harmful preservatives ⛔️No sugar syrup added 💯Tested & Approved ✅Trusted and loved by 100,000+ parents Start giving baalprashan drops to your kid and see the difference. 🥳Order now and get 10% discount! 🥳Extra 5% discount on UPI payment 5 Star Google Reviews by Happy Parents ⭐⭐⭐⭐⭐ Order Now and start the wellness journey of your kid.",video,2026-02-27,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=27120912540829866,ugc testimonial,"['ugc testimonial', 'discount / offer', 'parenting pain point', 'emotional storytelling']",4,9,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,27120912540829866,VIDEO,684,yes,Order now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,0,1,5
BabyOrgano,Baby care,"When immunity is strong, kids can enjoy childhood better 💛 BabyOrgano Baalprashan supports natural defense and helps reduce frequent falling sick.",video,2026-02-27,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=2011546639576301,parenting pain point,['parenting pain point'],1,9,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,2011546639576301,VIDEO,146,yes,Shop now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,0,1,5
