brand,category,format,primary_theme,ad_age_days,performance_proxy_score,platform,url,ad_text
Gynoveda,Women's wellness,video,hormonal health,143,89.0,"Facebook, Instagram, Threads",https://www.facebook.com/ads/library/?id=2214186615744833,"Baby ke liye plan kar rahe ho? 15000 couples bane hai parents … India ka 1st Ayurveda Fertility Clinic ⭐ 4.6 rating. 10000+ reviews. … ✅ Couples ke liye Treatment ✅ 100% Ayurvedic ❌ Bina hanikarak hormones ❌ Bina Dardnak surgery ❌ Bina mehenge IUI, IVF … Aj hi Doctor Appointment Book kare 🌐 Visit Gynoveda.com 📞 Call 724 0000 700 .. Gynoveda है तो, Good News पक्की है"
HK Vitals,Men's wellness,video,doctor authority,142,85.0,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=1115888094029197,"As a doctor, I always tell my patients — true skin glow starts from within. That’s why I recommend @hkvitals Glutathione Tablets — packed with 600 mg L-Glutathione and Vitamin C to help reduce pigmentation, fight dullness, and improve overall skin tone. Consistent use not only brightens your skin but also supports liver detox and fights oxidative stress — giving you a healthy, even glow. No added sugar | No aftertaste | Start your glow-up journey today and use my code GAJA10 on hkvitals.com for extra discounts."
Gynoveda,Women's wellness,video,hormonal health,101,81.9,"Facebook, Instagram, Messenger, Threads",https://www.facebook.com/ads/library/?id=1783897635643996,"PLANNING FOR A BABY 20,000 couples became parents … India's 1st Ayurveda Fertility Clinic ⭐ 4.6 rating. 14,000+ reviews. … ✅ Treatment for couples ❌ No harmful hormones ❌ No painful surgery ❌ No expensive IUI, IVF … Book Doctor Appointment 🌐 Visit Gynoveda.com 📞 Call 804 3285 088 .. Gynoveda hai toh, Good News pakki hai."
HK Vitals,Men's wellness,video,hair loss,129,81.0,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=877553668086966,"Selfcare Habit 💖 Tired all day? Sudden body aches? Dull skin and hair fall? These could be signs of nutritional deficiency. I felt the same, and that’s when I started taking HK Vitals Multivitamin + Women — specially designed to meet our nutritional and beauty needs. It’s been part of my daily routine for a while now, and I’m genuinely amazed by the results. My energy levels are up, my skin feels healthier, and hair fall has visibly reduced! 💪✨ Just take 1 tablet after breakfast — it’s that simple. Invest in your health, because it’s the most important thing. Order now from hkvitals.com and use code VIDHU to get 10% off! ( Self care, haircare, Bodycare, supplements )"
Gynoveda,Women's wellness,video,hormonal health,270,78.0,"Facebook, Instagram, Audience_Network, Messenger",https://www.facebook.com/ads/library/?id=1058046583123484,💚Pratibha's heartwarming story of getting pregnant in spite of having PCOS 💚Freedom from PCOS naturally with Ayurveda Gynoveda’s 3X Ayurvedic Program offers: 1. Ayurvedic Formulation 2. Diet Book 3. Unlimited Support 💚Trusted by 1 Lakh+ women 💚Learn more at Gynoveda.com
Pee Safe,Women's wellness,video,hormonal health,173,78.0,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=641290439051551,"Your self-care, your choice! ✨ Build your own combo with 5 essentials for just ₹999. 💖 Mix & match your hygiene faves: 💧 Pads, Panty Liners & Disposable Period Panties 🛡️ Toilet Seat Sanitiser Spray 🌸 Cramp Relief Roll-On And more…. 🔥 Limited-time deal – don’t miss out!"
Gynoveda,Women's wellness,video,hormonal health,89,77.4,"Facebook, Instagram, Messenger, Threads",https://www.facebook.com/ads/library/?id=33068957022749738,"PLANNING FOR A BABY 15000 couples became parents … India's 1st Ayurveda Fertility Clinic ⭐ 4.6 rating. 7000+ reviews. … ✅ Treatment for couples ✅ 100% Ayurvedic ❌ No harmful hormones ❌ No painful surgery ❌ No expensive IUI, IVF … Book Doctor Appointment 🌐 Visit Gynoveda.com 📞 Call 724 0000 700 .. Gynoveda hai toh, Good News pakki hai."
Gynoveda,Women's wellness,video,hormonal health,89,77.4,"Facebook, Instagram, Messenger, Threads",https://www.facebook.com/ads/library/?id=844871218329956,"PLANNING FOR A BABY 15000 couples became parents … India's 1st Ayurveda Fertility Clinic ⭐ 4.6 rating. 7000+ reviews. … ✅ Treatment for couples ✅ 100% Ayurvedic ❌ No harmful hormones ❌ No painful surgery ❌ No expensive IUI, IVF … Book Doctor Appointment 🌐 Visit Gynoveda.com 📞 Call 724 0000 700 .. Gynoveda hai toh, Good News pakki hai."
Gynoveda,Women's wellness,video,hormonal health,89,77.4,"Facebook, Instagram, Messenger, Threads",https://www.facebook.com/ads/library/?id=1913580340042383,"PLANNING FOR A BABY 15000 couples became parents … India's 1st Ayurveda Fertility Clinic ⭐ 4.6 rating. 7000+ reviews. … ✅ Treatment for couples ✅ 100% Ayurvedic ❌ No harmful hormones ❌ No painful surgery ❌ No expensive IUI, IVF … Book Doctor Appointment 🌐 Visit Gynoveda.com 📞 Call 724 0000 700 .. Gynoveda hai toh, Good News pakki hai."
Slurrp Farm,Baby care,video,other / unclassified,292,76.0,"Facebook, Instagram, Audience_Network, Messenger",https://www.facebook.com/ads/library/?id=1202716168021707,"🍜 Noodles for school tiffin? Always a yes with Slurrp Farm’s No Maida, Not Fried Millet Noodles—yummy, healthy & not-sticky. 💛 Buy now!"
